date,BTC,Gold
2015-01-01,314.24899292,
2015-01-02,315.03201294,1186.00000000
2015-01-03,281.08200073,
2015-01-04,264.19500732,
2015-01-05,274.47399902,1203.90002441
2015-01-06,286.18899536,1219.30004883
2015-01-07,294.33700562,1210.59997559
2015-01-08,283.34899902,1208.40002441
2015-01-09,290.40798950,1216.00000000
2015-01-10,274.79598999,
2015-01-11,265.66000366,
2015-01-12,267.79598999,1232.69995117
2015-01-13,225.86099243,1234.30004883
2015-01-14,178.10299683,1234.40002441
2015-01-15,209.84399414,1264.69995117
2015-01-16,208.09700012,1276.90002441
2015-01-17,199.25999451,
2015-01-18,210.33900452,
2015-01-19,214.86099243,
2015-01-20,211.31500244,1294.19995117
2015-01-21,226.89700317,1293.69995117
2015-01-22,233.40600586,1300.69995117
2015-01-23,232.87899780,1292.59997559
2015-01-24,247.84700012,
2015-01-25,253.71800232,
2015-01-26,273.47299194,1279.40002441
2015-01-27,263.47500610,1291.69995117
2015-01-28,233.91499329,1285.90002441
2015-01-29,233.51300049,1254.59997559
2015-01-30,226.42500305,1278.50000000
2015-01-31,217.46400452,
2015-02-01,226.97200012,
2015-02-02,238.22900391,1276.19995117
2015-02-03,227.26800537,1259.69995117
2015-02-04,226.85299683,1263.80004883
2015-02-05,217.11099243,1262.00000000
2015-02-06,222.26600647,1233.90002441
2015-02-07,227.75399780,
2015-02-08,223.41200256,
2015-02-09,220.11000061,1240.80004883
2015-02-10,219.83900452,1231.59997559
2015-02-11,219.18499756,1219.00000000
2015-02-12,221.76400757,1220.09997559
2015-02-13,235.42700195,1226.50000000
2015-02-14,257.32101440,
2015-02-15,234.82499695,
2015-02-16,233.84300232,
2015-02-17,243.61000061,1208.09997559
2015-02-18,236.32600403,1199.69995117
2015-02-19,240.28300476,1207.09997559
2015-02-20,243.77900696,1204.40002441
2015-02-21,244.53399658,
2015-02-22,235.97700500,
2015-02-23,238.89199829,1200.30004883
2015-02-24,238.73500061,1196.90002441
2015-02-25,237.47000122,1201.00000000
2015-02-26,236.42599487,1209.59997559
2015-02-27,253.82800293,1212.59997559
2015-02-28,254.26300049,
2015-03-01,260.20199585,
2015-03-02,275.67001343,1207.69995117
2015-03-03,281.70199585,1204.00000000
2015-03-04,273.09201050,1200.59997559
2015-03-05,276.17800903,1195.90002441
2015-03-06,272.72299194,1164.09997559
2015-03-07,276.26098633,
2015-03-08,274.35400391,
2015-03-09,289.60699463,1166.40002441
2015-03-10,291.76000977,1160.09997559
2015-03-11,296.37899780,1150.69995117
2015-03-12,294.35400391,1152.09997559
2015-03-13,285.33700562,1152.59997559
2015-03-14,281.88500977,
2015-03-15,286.39300537,
2015-03-16,290.59298706,1153.30004883
2015-03-17,285.50500488,1148.30004883
2015-03-18,256.29901123,1151.40002441
2015-03-19,260.92800903,1169.09997559
2015-03-20,261.74899292,1184.80004883
2015-03-21,260.02499390,
2015-03-22,267.95999146,
2015-03-23,266.73999023,1188.00000000
2015-03-24,245.59500122,1191.69995117
2015-03-25,246.19700623,1197.30004883
2015-03-26,248.53199768,1205.09997559
2015-03-27,247.02900696,1199.80004883
2015-03-28,252.79800415,
2015-03-29,242.71299744,
2015-03-30,247.52600098,1184.80004883
2015-03-31,244.22399902,1183.09997559
2015-04-01,247.27200317,1208.09997559
2015-04-02,253.00500488,1200.90002441
2015-04-03,254.32200623,
2015-04-04,253.69700623,
2015-04-05,260.59799194,
2015-04-06,255.49200439,1218.59997559
2015-04-07,253.17999268,1210.59997559
2015-04-08,245.02200317,1203.09997559
2015-04-09,243.67599487,1193.59997559
2015-04-10,236.07200623,1204.59997559
2015-04-11,236.55200195,
2015-04-12,236.15299988,
2015-04-13,224.58700562,1199.30004883
2015-04-14,219.15899658,1192.80004883
2015-04-15,223.83299255,1201.50000000
2015-04-16,228.57299805,1198.00000000
2015-04-17,222.88200378,1202.90002441
2015-04-18,223.35600281,
2015-04-19,222.60000610,
2015-04-20,224.62600708,1193.50000000
2015-04-21,235.26899719,1202.90002441
2015-04-22,234.17599487,1186.90002441
2015-04-23,236.46200562,1194.40002441
2015-04-24,231.26800537,1175.19995117
2015-04-25,226.38999939,
2015-04-26,219.42999268,
2015-04-27,229.28599548,1203.30004883
2015-04-28,225.85499573,1214.00000000
2015-04-29,225.80799866,1209.80004883
2015-04-30,236.14500427,1182.40002441
2015-05-01,232.07899475,1174.50000000
2015-05-02,234.92999268,
2015-05-03,240.35800171,
2015-05-04,239.01800537,1186.80004883
2015-05-05,236.12100220,1193.19995117
2015-05-06,229.78199768,1190.30004883
2015-05-07,237.33399963,1182.40002441
2015-05-08,243.86300659,1189.09997559
2015-05-09,241.83200073,
2015-05-10,240.29600525,
2015-05-11,242.15800476,1183.19995117
2015-05-12,241.11199951,1192.59997559
2015-05-13,236.37699890,1218.40002441
2015-05-14,236.92900085,1225.40002441
2015-05-15,237.60499573,1225.50000000
2015-05-16,236.15299988,
2015-05-17,236.80200195,
2015-05-18,233.12800598,1227.80004883
2015-05-19,231.94700623,1206.90002441
2015-05-20,234.01800537,1208.90002441
2015-05-21,235.34399414,1204.40002441
2015-05-22,240.34800720,1204.30004883
2015-05-23,238.87199402,
2015-05-24,240.95300293,
2015-05-25,237.11000061,
2015-05-26,237.11599731,1187.19995117
2015-05-27,237.28300476,1185.90002441
2015-05-28,237.40800476,1188.09997559
2015-05-29,237.09599304,1189.40002441
2015-05-30,233.34500122,
2015-05-31,230.19000244,
2015-06-01,222.92599487,1188.30004883
2015-06-02,225.80299377,1194.09997559
2015-06-03,225.87399292,1184.69995117
2015-06-04,224.32400513,1174.90002441
2015-06-05,224.95199585,1167.80004883
2015-06-06,225.61900330,
2015-06-07,222.88099670,
2015-06-08,228.48899841,1173.19995117
2015-06-09,229.04800415,1177.30004883
2015-06-10,228.80299377,1186.09997559
2015-06-11,229.70500183,1179.90002441
2015-06-12,229.98199463,1178.80004883
2015-06-13,232.40199280,
2015-06-14,233.54299927,
2015-06-15,236.82299805,1185.30004883
2015-06-16,250.89500427,1180.50000000
2015-06-17,249.28399658,1176.40002441
2015-06-18,249.00700378,1201.50000000
2015-06-19,244.60600281,1201.50000000
2015-06-20,245.21200562,
2015-06-21,243.94400024,
2015-06-22,246.99000549,1183.69995117
2015-06-23,244.29600525,1176.19995117
2015-06-24,240.51499939,1172.59997559
2015-06-25,242.79899597,1171.50000000
2015-06-26,243.59399414,1172.90002441
2015-06-27,250.99000549,
2015-06-28,249.01100159,
2015-06-29,257.06399536,1178.50000000
2015-06-30,263.07199097,1171.50000000
2015-07-01,258.62100220,1169.00000000
2015-07-02,255.41200256,1163.00000000
2015-07-03,256.33599854,
2015-07-04,260.88598633,
2015-07-05,271.91299438,
2015-07-06,269.02999878,1172.90002441
2015-07-07,266.20700073,1152.40002441
2015-07-08,270.78500366,1163.30004883
2015-07-09,269.22799683,1159.00000000
2015-07-10,284.89401245,1157.69995117
2015-07-11,293.11499023,
2015-07-12,310.86700439,
2015-07-13,292.05398560,1155.19995117
2015-07-14,287.46398926,1153.30004883
2015-07-15,285.82901001,1147.19995117
2015-07-16,278.08898926,1143.80004883
2015-07-17,279.47198486,1131.80004883
2015-07-18,274.90100098,
2015-07-19,273.61401367,
2015-07-20,278.98098755,1106.69995117
2015-07-21,275.83300781,1103.40002441
2015-07-22,277.22198486,1091.40002441
2015-07-23,276.04901123,1094.00000000
2015-07-24,288.27801514,1085.59997559
2015-07-25,288.69699097,
2015-07-26,292.68600464,
2015-07-27,293.62399292,1096.50000000
2015-07-28,294.42700195,1096.30004883
2015-07-29,289.58999634,1092.69995117
2015-07-30,287.72198486,1088.40002441
2015-07-31,284.64999390,1094.90002441
2015-08-01,281.60101318,
2015-08-02,282.61401367,
2015-08-03,281.22698975,1089.40002441
2015-08-04,285.21798706,1090.69995117
2015-08-05,281.88198853,1085.69995117
2015-08-06,278.57699585,1090.19995117
2015-08-07,279.58499146,1094.09997559
2015-08-08,260.99700928,
2015-08-09,265.08300781,
2015-08-10,264.47000122,1104.19995117
2015-08-11,270.38598633,1107.59997559
2015-08-12,266.37600708,1123.19995117
2015-08-13,264.07998657,1115.69995117
2015-08-14,265.67999268,1112.90002441
2015-08-15,261.55099487,
2015-08-16,258.50698853,
2015-08-17,257.97601318,1118.59997559
2015-08-18,211.07899475,1117.09997559
2015-08-19,226.68400574,1128.09997559
2015-08-20,235.35000610,1153.00000000
2015-08-21,232.56900024,1159.59997559
2015-08-22,230.38999939,
2015-08-23,228.16900635,
2015-08-24,210.49499512,1153.40002441
2015-08-25,221.60899353,1138.19995117
2015-08-26,225.83099365,1124.59997559
2015-08-27,224.76899719,1122.40002441
2015-08-28,231.39599609,1133.09997559
2015-08-29,229.77999878,
2015-08-30,228.76100159,
2015-08-31,230.05599976,1131.59997559
2015-09-01,228.12100220,1138.69995117
2015-09-02,229.28399658,1132.50000000
2015-09-03,227.18299866,1123.69995117
2015-09-04,230.29800415,1120.59997559
2015-09-05,235.01899719,
2015-09-06,239.83999634,
2015-09-07,239.84700012,
2015-09-08,243.60699463,1120.40002441
2015-09-09,238.16799927,1102.19995117
2015-09-10,238.47700500,1109.50000000
2015-09-11,240.10699463,1103.50000000
